Name	week	Player_ID	HR	R	RBI	SB	BA	GP
Patrick Leonard	0	861	NaN	NaN	NaN	NaN	0.231	0
B.J. Boyd	0	862	NaN	NaN	NaN	NaN	0.255	0
Cole Sturgeon	0	863	NaN	NaN	NaN	NaN	0.251	0
Mac Williamson	6	864	0.667	2.333	2.667	0.167	0.225	36
Mel Rojas Jr.	0	865	NaN	NaN	NaN	NaN	0.232	0
Zach Borenstein	0	866	NaN	NaN	NaN	NaN	0.221	0
Ryne Birk	0	867	NaN	NaN	NaN	NaN	0.241	0
Nick Longhi	0	868	NaN	NaN	NaN	NaN	0.242	0
Darren Seferina	0	869	NaN	NaN	NaN	NaN	0.245	0
Eric Wood	0	870	NaN	NaN	NaN	NaN	0.225	0
Casey Turgeon	0	871	NaN	NaN	NaN	NaN	0.227	0
Kody Eaves	0	872	NaN	NaN	NaN	NaN	0.232	0
J.J. Hardy	0	873	NaN	NaN	NaN	NaN	0.242	0
Cole Figueroa	0	874	NaN	NaN	NaN	NaN	0.251	0
Dan Gamache	0	875	NaN	NaN	NaN	NaN	0.247	0
Daric Barton	0	876	NaN	NaN	NaN	NaN	0.21	0
Darien Tubbs	0	877	NaN	NaN	NaN	NaN	0.235	0
Jason Coats	0	878	NaN	NaN	NaN	NaN	0.234	0
J.T. Riddle	13.833	879	0.361	1.952	2.169	0.217	0.258	83
Tyler Saladino	8.5	880	0.471	2.471	2.235	0.706	0.238	51
Jonathan Jones	0	881	NaN	NaN	NaN	NaN	0.224	0
Patrick Kivlehan	0.333	882	0	3	3	0	0.22	2
Mason Katz	0	883	NaN	NaN	NaN	NaN	0.231	0
Cole Gillespie	6.667	884	0.3	2.25	2.25	0.45	0.239	40
Marty Herum	0	885	NaN	NaN	NaN	NaN	0.257	0
James Ramsey	0	886	NaN	NaN	NaN	NaN	0.226	0
