Name	week	Player_ID	HR	R	RBI	SB	BA	GP
Yusniel Diaz	0	887	NaN	NaN	NaN	NaN	0.238	0
Marquez Smith	0	888	NaN	NaN	NaN	NaN	0.223	0
Leandro Castro	0	889	NaN	NaN	NaN	NaN	0.237	0
Juan Duran	0	890	NaN	NaN	NaN	NaN	0.228	0
Rene Rivera	6.333	891	0.632	2.368	2.526	0.158	0.23	38
Carlos Moncrief	0	892	NaN	NaN	NaN	NaN	0.226	0
Will Swanner	0	893	NaN	NaN	NaN	NaN	0.217	0
Jorge Alfaro	10.667	894	0.75	2.156	2.625	0.094	0.233	64
Ramon Urias	0	895	NaN	NaN	NaN	NaN	0.236	0
David Lough	0	896	NaN	NaN	NaN	NaN	0.24	0
Zack Zehner	0	897	NaN	NaN	NaN	NaN	0.223	0
Adeiny Hechavarria	15.667	898	0.319	2.106	2.17	0.191	0.256	94
Kirk Nieuwenhuis	0	899	NaN	NaN	NaN	NaN	0.199	0
Jeffrey Baez	0	900	NaN	NaN	NaN	NaN	0.228	0
Ty France	0	901	NaN	NaN	NaN	NaN	0.239	0
Austin Wynns	0.5	902	0	2	2	0	0.238	3
Art Charles	0	903	NaN	NaN	NaN	NaN	0.211	0
Victor Cruzado	0	904	NaN	NaN	NaN	NaN	0.229	0
Michael Hermosillo	0.333	905	0	3	3	0	0.235	2
Dominic Ficociello	0	906	NaN	NaN	NaN	NaN	0.24	0
Aristides Aquino	0.333	907	0	3	3	0	0.223	2
Francisco Pena	0	908	NaN	NaN	NaN	NaN	0.233	0
Ryan Goins	2.5	909	0.4	2	2	0.4	0.243	15
Samir Duenez	1.333	910	0.75	2.25	2.25	0.75	0.24	8
Jake Cronenworth	0	911	NaN	NaN	NaN	NaN	0.241	0
Kyle Farmer	1.833	912	0.545	2.182	2.182	0	0.246	11
Jayce Boyd	0	913	NaN	NaN	NaN	NaN	0.233	0
Kevin Medrano	0	914	NaN	NaN	NaN	NaN	0.26	0
Billy Hamilton	20.833	915	0.288	2.88	2.016	2.208	0.242	125
Ryan Mountcastle	0	916	NaN	NaN	NaN	NaN	0.251	0
